Place_1,Place_2,Name,Latitude,Longitude,Rating,Vicinity,Place_id,Open_Status,Phone_number,Dept,no_of_beds
,,SV HOSPITAL A UNIT OF AMEYA HEALTHCARE ALLIANCE,14.681319,77.59944300000002,2.8,14/327,21,UNKNOWN,9985148483,"pathology,accident,",51
,,Dr. YSR Memorial Hospitals,14.675556,77.603095,3.3,12-2-878,22,UNKNOWN,9494175580,"adolescent,public health,dental,accident,",98
,,Aasha Hospital,14.68085,77.593985,3.2,"7/201,court road,anantapur",23,UNKNOWN,9440286194,"radiology,sports medicine,vascular surgery,internal medicine,physical medicine and rehabilitation,laboratory medicine,neurosurgery,plastic surgery,cardiology,orthopaedics,general surgery,specialty,adolescent,gastroenterology,urology,plastic,neurology,interventional radiology,nephrology,dental,geriatrics,endocrinology,psychiatry,pulmonology,public health,palliative care,oncology,dermatology,ophthalmology,nuclear medicine,",72
,,TEJA NURSING HOME,13.835304,77.494222,3.6,"17-4-3/2, R.P.G.T.ROAD, Hindupur Muncipality, Hindupur, Anantapur",24,UNKNOWN,9553555143,"pathology,medical research,accident,plastic surgery,cardiology,orthopaedics,general surgery,specialty,urology,plastic,dental,allergy,oral and maxillofacial surgery,paediatric surgery,public health,palliative care,neonatology,oncology,ophthalmology,",22
,,CHANDRA SUPERSPECIALTY HOSPITAL,14.687829,77.600577,4.8,"13-2-390SHIRDI NAGAR, ANANTAPUR",25,UNKNOWN,9441428197,"urology,cardiology,gynecology,general surgery,internal medicine,specialty,dermatology,",30
,,AMEER NURSING HOME,14.114729,78.16199499999998,4.5,"1/617-8 & 9,WATER TANK ROAD,Kadiri,Anantapur",26,UNKNOWN,8142839611,"specialty,medical research,accident,",50
,,SREE RAGHAVENDRA MULTISPECIALITY HOSPITAL,13.834451000000001,77.49515600000002,3.2,1-3-2C,27,UNKNOWN,9632032052,"sports medicine,medical research,internal medicine,laboratory medicine,plastic surgery,cardiology,orthopaedics,paediatrics,gynecology,general surgery,specialty,adolescent,urology,plastic,anesthesiology,nephrology,emergency medicine,pediatrics,psychiatry,public health,infectious disease,dermatology,ophthalmology,",70
,,SREENIVASA MULTI SPECIALITY HOSPITAL,14.677118,77.60587199999998,3.8,28-271,28,UNKNOWN,8886688133,"pathology,medical research,accident,plastic surgery,cardiology,orthopaedics,general surgery,specialty,urology,plastic,dental,allergy,oral and maxillofacial surgery,paediatric surgery,public health,palliative care,neonatology,oncology,ophthalmology,",44
,,DR AKBAR EYE HOSPITAL PHACO AND LASER CENTER,14.672568,77.601214,4.0,12-3-234,29,UNKNOWN,9440937767,"psychiatry,public health,dental,specialty,geriatrics,adolescent,ophthalmology,accident,",12
,,MYTHRIHOSPITAL,14.680585,77.600075,4.4,15/721,30,UNKNOWN,9012001456,"radiology,sports medicine,vascular surgery,internal medicine,physical medicine and rehabilitation,laboratory medicine,neurosurgery,accident,plastic surgery,cardiology,orthopaedics,specialty,adolescent,gastroenterology,urology,plastic,neurology,interventional radiology,dental,nephrology,geriatrics,allergy,endocrinology,psychiatry,public health,oncology,dermatology,ophthalmology,nuclear medicine,",48
,,TRIVENI HOSPITAL,14.113102,78.162048,3.8,1-358,31,UNKNOWN,9441053273,"pathology,sports medicine,medical research,geriatric psychiatry,hematology,internal medicine,radiology,microbiology,neurosurgery,cardiothoracic surgery,pharmacology,radiation oncology,cardiology,gynecology,general surgery,specialty,hospital medicine,surgical oncology,infectious diseases,urology,gastroenterology,pediatric surgery,pediatric nephrology,hepatology,colorectal surgery,plastic,neurology,orthopedic surgery,interventional radiology,anesthesiology,gynecologic oncology,nephrology,emergency medicine,dental,pediatrics,allergy,endocrinology,oral and maxillofacial surgery,thoracic surgery,rheumatology,psychiatry,pediatric cardiology,infectious disease,palliative care,oncology,ophthalmology,neuroradiology,pediatric emergency medicine,nuclear medicine,child psychiatry,",35
,,NEPHROPLUS (GGH-ANT),14.671045999999999,77.594353,3.1,"Govt.General Hospital,Anantapur",32,UNKNOWN,9885697344,,19
,,ABHAYA KIDNEY CARE MULITYSPECIALITY HOSPITAL,14.678469,77.600388,2.5,10-470,33,UNKNOWN,8125558329,"physical medicine and rehabilitation,neurosurgery,accident,plastic surgery,cardiology,paediatrics,gynecology,general surgery,specialty,adolescent,otorhinolaryngology,gastroenterology,urology,plastic,neurology,dental,pediatrics,public health,family medicine,dermatology,",78
,,Saveera Institute of Medical Sciences Pvt Ltd,14.65587095,77.5842292,4.0,1-1348,34,UNKNOWN,8886469989,"radiology,vascular surgery,internal medicine,cardiovascular surgery,laboratory medicine,neurosurgery,plastic surgery,cardiology,orthopaedics,paediatrics,gynecology,general surgery,specialty,gastroenterology,hepatology,urology,plastic,neurology,anesthesiology,orthopedic surgery,nephrology,emergency medicine,dental,oral and maxillofacial surgery,psychiatry,pulmonology,dermatology,ophthalmology,",100
,,DEVI NURSING HOME,14.398326,77.70670600000003,3.7,25-585-17,35,UNKNOWN,9494274768,,66
,,SRI PADMAVATHI SRINIVASA MULTISPECILITY HOSPITAL,15.159704999999999,77.377533,4.2,20/184,36,UNKNOWN,9949946544,,24
,,RURAL DEVELOPMENT TRUST HOSPITAL,14.513314000000001,77.772009,2.9,2-528KADIRI ROAD,37,UNKNOWN,9701040301,"radiology,medical research,microbiology,accident,plastic surgery,cardiology,orthopaedics,paediatrics,gynecology,general surgery,specialty,infectious diseases,urology,plastic,anesthesiology,pathology,dental,allergy,obstetrics and gynecology,oral and maxillofacial surgery,paediatric surgery,public health,infectious disease,family medicine,palliative care,neonatology,oncology,ophthalmology,",25
,,SRI GAYATHRI HOSPITL,14.674985000000001,77.60303,3.9,12/2/883,38,UNKNOWN,9493832324,"urology,psychiatry,immunology,anesthesiology,cardiology,orthopaedics,paediatrics,general surgery,public health,nephrology,thoracic surgery,adolescent,neurology,oncology,dermatology,ophthalmology,endocrinology,gastroenterology,",55
,,MALVINA HOSPITAL AND EYE CENTRE,14.671304000000001,77.601281,3.6,12-2-820,39,UNKNOWN,9849175291,"pathology,",38
,,SANJEEVINI HOSPITALS,14.677805,77.599363,3.0,10/514,40,UNKNOWN,9985148483,"pathology,vascular surgery,internal medicine,radiology,neurosurgery,accident,plastic surgery,cardiology,orthopaedics,paediatrics,gynecology,general surgery,specialty,gastroenterology,urology,plastic,neurology,anesthesiology,dental,nephrology,pediatrics,endocrinology,rheumatology,psychiatry,pulmonology,dermatology,oncology,",95
,,SREE AMARAVATHI MULTI SPECIALITY HOSPITAL,14.670745000000002,77.59285799999998,2.9,11-1-234,41,UNKNOWN,8886230678,"specialty,physical medicine and rehabilitation,",10
,,BABY HOSPITAL,14.675365,77.601683,2.7,2021-02-12 00:00:00,42,UNKNOWN,9849341205,"plastic,medical research,public health,pediatrics,adolescent,allergy,dermatology,occupational medicine,",72
,,SRI PRAAGNA HOSPITALS,14.630059,77.620605,4.8,2022-04-01 00:00:00,43,UNKNOWN,9441819394,"radiology,vascular surgery,hematology,internal medicine,laboratory medicine,neurosurgery,radiation oncology,plastic surgery,cardiology,orthopaedics,general surgery,specialty,medical oncology,gastroenterology,hepatology,urology,plastic,neurology,podiatry,nephrology,dental,allergy,endocrinology,rheumatology,psychiatry,pulmonology,paediatric surgery,public health,respiratory medicine,dietetics,medical genetics,oncology,dermatology,ophthalmology,",18
,,SRI SAI KRUPA NURSING HOME,14.398326,77.70670600000003,4.7,10-368,44,UNKNOWN,8179654540,"cardiology,specialty,general surgery,",85
,,SRI ANAND HOSPITAL,14.66045,77.379894,4.5,13-2-128,45,UNKNOWN,9550708670,"plastic,plastic surgery,gynecology,general surgery,specialty,pediatrics,",78
,,SWAPNA NURSING HOME,15.166045,77.379894,3.6,17/409,46,UNKNOWN,9384914620,,80
,,Russh Hospitals Pvt Ltd,13.636447,79.421477,4.0,"10-14-576/6 1ST STREET R & R COLONY, TIRUPATHI - 517 501",47,UNKNOWN,9440340059,"urology,psychiatry,orthopedic surgery,general surgery,gynecology,dental,specialty,ophthalmology,gastroenterology,",37
,,Sri Sai Sudha Hospital,13.635678,79.420775,4.4,TIRUPATHI,48,UNKNOWN,9949853701,"sports medicine,orthopedic surgery,public health,specialty,adolescent,accident,",58
,,Balaji Multispeciality Hospital,13.557951999999998,78.509466,3.5,15-6-5-10,49,UNKNOWN,9490445255,"radiology,sports medicine,medical research,maxillo-facial surgery,accident,plastic surgery,cardiology,orthopaedics,paediatrics,specialty,gastroenterology,urology,plastic,neurology,dental,nephrology,allergy,psychiatry,pulmonology,oncology,dermatology,ophthalmology,",96
,,Narayanadri Hospital and Research institute private limited,13.62856,79.46434,4.9,73-A,50,UNKNOWN,7093028955,,58
,,CITI HOSPITALS,13.556531,78.500221,4.0,2-42-46,51,UNKNOWN,9014734191,,7
,,NAVYA NETHRALAYA,13.633465,79.409727,3.4,DOORNO/349,52,UNKNOWN,9440898255,"specialty,medical research,",74
,,Om Hospital,13.638053,79.422709,4.7,"10-13-486, REDDY & REDDY COLONY, TIRUPATHI, ANDHRA PRADESH",53,UNKNOWN,9491060820,"urology,plastic,plastic surgery,gynecology,dental,general surgery,specialty,accident,",16
,,Sree Ramadevi Multy Speciality Hospital,13.63821,79.41773,4.4,"T.S,82 SAIRAM STREET TIRUPATHI",54,UNKNOWN,9849168248,"radiology,microbiology,neurosurgery,accident,cardiology,orthopaedics,paediatrics,specialty,adolescent,gastroenterology,urology,neurology,anesthesiology,pathology,nephrology,dental,emergency medicine,pediatrics,public health,ophthalmology,neuroradiology,",71
,,Sneha Hospital,13.639920000000002,79.4122,3.6,"SAROJINI DEVI LAY OUT , TIRUPATHI",55,UNKNOWN,9849046764,"specialty,dental,",64
,,Chandra Mohans Nursing Home,13.554457000000001,78.50735300000002,4.1,"14.2/A CTM ROAD MADANAPALLI,TIRUPATHI",56,UNKNOWN,7382753220,"medical research,adolescent,public health,specialty,",80
,,Pes Institute Of Medical Sciences And Research Hospital,12.789652,78.364674,2.9,"KUPPAM - 571 425, CHITTOOR DIST, ANDHRA PRADESH",57,UNKNOWN,8333814176,"pathology,psychiatry,anesthesiology,emergency medicine,general surgery,infectious disease,pediatrics,ophthalmology,microbiology,infectious diseases,forensic medicine,pharmacology,",25
,,Sri Priya Nursing Home,12.750086,78.342985,2.9,"A.P Vajravelu Chetty Street, Kuppam- 517425, Chittoor (Dt)",58,UNKNOWN,9440393137,"specialty,adolescent,public health,",96
,,M S HOSPITAL,13.63994,79.42623,3.4,18-2-263,59,UNKNOWN,9949085759,"specialty,",43
,,DRUSHTI EYE HOSPITAL,13.555985999999999,78.500434,3.9,1-444,60,UNKNOWN,9849262861,"plastic surgery,plastic,specialty,ophthalmology,",33
,,ANAND BABU HOSPITAL,13.557362,78.509461,3.8,15/6/5/14,61,UNKNOWN,8309179335,"radiology,sports medicine,vascular surgery,hematology,cardiothoracic surgery,plastic surgery,cardiology,gynecology,general surgery,specialty,gastroenterology,urology,plastic,anesthesiology,nephrology,emergency medicine,pediatrics,endocrinology,thoracic surgery,rheumatology,psychiatry,pulmonology,pediatric cardiology,dietetics,oncology,dermatology,ophthalmology,nuclear medicine,",58
,,VENKATARAMANA HEART AND MATERNITY HOSPITAL,13.63544,79.41946,3.0,10-3-206/A3/A,62,UNKNOWN,9247328561,"pathology,neurology,paediatrics,dental,medical research,specialty,pediatrics,urology,allergy,dermatology,gastroenterology,accident,",59
,,SRI VENKATA SAI HRUDAYALAYA,13.62955,79.41757,3.4,1979-02-15 00:00:00,63,UNKNOWN,9704059621,"urology,cardiology,public health,adolescent,allergy,accident,",75
,,Sankalpa Super Speciality Hospital,13.635001,79.426087,4.0,DNo13-5-531/B1/7/B,64,UNKNOWN,9440022081,"pathology,medical research,accident,plastic surgery,cardiology,orthopaedics,general surgery,specialty,urology,plastic,dental,allergy,oral and maxillofacial surgery,paediatric surgery,public health,palliative care,neonatology,oncology,ophthalmology,",48
,,BALAJI ORTHOPAEDIC AND TRAUMA HOSPITAL,13.634170000000001,79.42928,3.2,1967-07-20 00:00:00,65,UNKNOWN,9441088581,"urology,plastic,sports medicine,plastic surgery,public health,specialty,adolescent,accident,",71
,,SUTHRAMA EYE HOSPITAL,13.56119,78.510385,4.3,3-237,66,UNKNOWN,9704681006,"specialty,dental,ophthalmology,accident,",17
,,NEPHROPLUS (SVRR GGH TIRUPATI),13.643854999999999,79.407353,4.5,"SRI VENKATAESHWARA RAMA NARAYANA RUIA GOVT GENRAL HOSPITAL,BESIDE EMERGENCY WARD,ALIPIRI ROAD,TIRUPATI 517501",67,UNKNOWN,8179259171,,30
,,DR AGRAWALS HEALTH CARE LTD,13.622829999999999,79.41713,2.5,19-4-8/14A I R BYPASS ROAD,68,UNKNOWN,9704030932,"dental,",100
,,USHA EYE HOSPITAL,13.558886,78.509525,3.8,3-153-6,69,UNKNOWN,9849499197,"urology,neurology,ophthalmology,neurosurgery,accident,",43
,,MGM HOSPITALS,13.740668,79.720404,3.8,7-226-1-2-3,70,UNKNOWN,7288877301,,37
,,VISWA ORTHOPAEDIC HOSPITAL,13.557222,78.500051,4.3,"II-64, PATEL ROAD, Madanapalli, Chittoor.",71,UNKNOWN,9885715141,"adolescent,public health,",92
,,PARAMAHANSA YOGANANDA EYE HOSPITAL,13.557777,78.509411,3.7,15-6-5-11,72,UNKNOWN,9666357284,"public health,dental,",67
,,PURNAS REMEDY HOSPITAL,13.63654,79.42246999999998,4.0,"6-7-559HARE RAMA HARE KRISHNA ROADTirupathi, Chittoor",73,UNKNOWN,9676096438,"adolescent,public health,accident,",53
,,PRASAD MULTI SPECIALITY HOSPITAL,13.556225,78.510226,4.0,15/15/5,74,UNKNOWN,9492852175,,17
,,GUPTA HOSPITAL,13.551682999999999,78.508326,4.1,15-284,75,UNKNOWN,9704207181,"radiology,plastic,psychiatry,neurology,plastic surgery,cardiology,nephrology,gynecology,dental,general surgery,specialty,urology,dermatology,ophthalmology,",93
,,SRI VENKATESWARA ARAVIND EYE HOSPITAL,13.375836999999999,79.231921,2.6,A/602,76,UNKNOWN,9486088879,"specialty,medical research,ophthalmology,",7
,,Apollo Hospitals Enterprises Ltd- A,13.282810999999999,78.955298,3.8,"ARAGONDA, THAVANAMPALLI (M), CHITTOOR (DIST.), A.P.",77,UNKNOWN,9440711831,"radiology,neurosurgery,accident,plastic surgery,cardiology,orthopaedics,gynecology,general surgery,specialty,adolescent,transplant surgery,gastroenterology,urology,colorectal surgery,plastic,neurology,anesthesiology,nephrology,pediatrics,oral and maxillofacial surgery,pediatric cardiology,public health,oncology,neonatology,dermatology,ophthalmology,",76
,,DBR AND SK SUPER SPECIALITY HOSPITAL,13.633876999999998,79.430922,3.4,1937-07-20 00:00:00,78,UNKNOWN,9676772332,"urology,cardiology,orthopaedics,nephrology,specialty,gastroenterology,",73
,,SURENDRA MULTISPECAILITY HOSPITALS,13.615437,79.367855,3.9,2-287,79,UNKNOWN,9000414677,"specialty,medical research,",100
,,SRI CHAKRA HOSPITALS,13.636,79.4211,4.4,"496,REDDY & REDDY COLONY",80,UNKNOWN,8374514343,"specialty,adolescent,public health,",82
,,DESAI HOSPITALS,13.558866,78.508442,2.9,III-153-4-3-1,81,UNKNOWN,9866110453,,94
,,SRI MARUTHI SPECALITY HOSPITALS,13.642660000000001,79.42836,4.9,20-3-88/G1,82,UNKNOWN,9581197097,"specialty,accident,",94
,,S K R Hospital,13.6572705,78.94088570000002,4.0,1-1715/1,83,UNKNOWN,9448844126,"pathology,orthopaedics,dental,oncology,medical oncology,radiology,ophthalmology,neurosurgery,gastroenterology,",42
,,Rishi Ortho and Trauma Hospital,13.650747699999998,78.947935,3.6,DNO-2-519A,84,UNKNOWN,8886340884,,38
,,GOPIMADHAVI HOSPITAL,13.63534,79.42034,2.8,10-13-562,85,UNKNOWN,9701426279,"specialty,dental,accident,",86
,,Konaseema Institute Of Medical Science,16.591006,82.022616,4.7,AMALAPURAM,86,UNKNOWN,9618239468,"radiology,hematology,microbiology,pharmacology,orthopaedics,paediatrics,gynecology,general surgery,specialty,forensic medicine,emergency medicine,dental,pediatrics,obstetrics and gynecology,venereology,psychiatry,respiratory medicine,dermatology,ophthalmology,",93
,,Raju Neuro And Multispeciality Hospitals P Ltd,17.005955,81.78537800000002,3.3,RAJAHMUNDRY,87,UNKNOWN,9848169016,"radiology,sports medicine,internal medicine,physical medicine and rehabilitation,laboratory medicine,neurosurgery,plastic surgery,cardiology,orthopaedics,general surgery,specialty,gastroenterology,urology,plastic,neurology,interventional radiology,dental,nephrology,geriatrics,endocrinology,psychiatry,paediatric surgery,clinical neurophysiology,palliative care,dermatology,oncology,nuclear medicine,",20
,,Gsl Trust Cancer Hospital And Research Centre,17.014891,81.776916,4.3,RAJAHMUNDRY,88,UNKNOWN,9966533555,"pathology,hematology,neurosurgery,plastic surgery,cardiology,radiation oncology,gynecology,general surgery,specialty,medical oncology,surgical oncology,gastroenterology,urology,plastic,anesthesiology,rheumatology,oncology,ophthalmology,nuclear medicine,",82
,,Haritha Hospitals,16.956407000000002,82.23054599999998,2.7,KAKINADA,89,UNKNOWN,9948437961,"radiology,sports medicine,vascular surgery,internal medicine,physical medicine and rehabilitation,laboratory medicine,neurosurgery,plastic surgery,cardiology,orthopaedics,general surgery,specialty,adolescent,gastroenterology,urology,plastic,neurology,interventional radiology,nephrology,dental,geriatrics,endocrinology,psychiatry,public health,oncology,dermatology,nuclear medicine,",79
,,Sai Sudha Hospital,16.954472,82.232363,3.6,KAKINADA,90,UNKNOWN,9848160147,"radiology,plastic,rheumatology,plastic surgery,cardiology,public health,general surgery,internal medicine,family medicine,adolescent,dermatology,neurosurgery,gastroenterology,",72
,,UNIVERSAL HOSPITALS,17.007822,81.77386899999998,3.2,29-14-29,91,UNKNOWN,8499022777,"urology,cardiology,orthopaedics,public health,general surgery,specialty,ophthalmology,",34
,,HOPE INTERNATIONAL HOSPITAL A UNIT OF PALAPARTHI SUPER SPECIALITY HOSPITALS PRIVATE LIMITED,17.02431,82.232311,4.0,3-119,92,UNKNOWN,9396549060,"radiology,microbiology,neurosurgery,cardiology,orthopaedics,paediatrics,general surgery,gastroenterology,urology,neurology,pathology,nephrology,dental,emergency medicine,endocrinology,pulmonology,neonatology,oncology,ophthalmology,nuclear medicine,",23
,,LAXMI HOSPITAL,16.972453,82.248648,2.8,3-16-207,93,UNKNOWN,9391467020,,6
,,Raghava 24 Hours Hospital,16.963326000000002,82.23264499999998,2.9,"D.NO.11-11-3/1,RAMARAOPETA,NOOKALAMMA TEMPLE STREET, KAKINADA-533004",94,UNKNOWN,9553373737,,79
,,Aravindam Orthopdeics  And Physiotherapy Centre,16.992196,81.775757,4.7,RAJAHMUNDRY,95,UNKNOWN,9849791600,"urology,plastic,cardiology,nephrology,public health,dental,adolescent,accident,",100
,,Goutami Eye Institute,17.021144,81.782878,4.1,"1 R V Nagar,Korukonda Road,Rajahmundry 533105",96,UNKNOWN,8333814208,"ophthalmology,",89
,,Sudha Urology  And Andrology Hospital,16.96357747,82.22873962,3.2,KAKINADA,97,UNKNOWN,9048666666,"urology,",30
,,Sri Kiran Institute Of  Ophthalmology,17.024288000000002,82.258404,2.8,"Penumarthi Road, Near Atchampeta JunctionKakinada",98,UNKNOWN,9494915050,"public health,dental,specialty,adolescent,allergy,microbiology,ophthalmology,",47
,,Sri Bikkina Nursing Home,16.870457000000002,81.928294,3.3,"MAIN ROAD; MANDAPETA-533308,E.G.Dt; A.P",99,UNKNOWN,9949817475,"urology,medical research,orthopaedics,nephrology,dental,specialty,allergy,ophthalmology,endocrinology,gastroenterology,accident,",51
,,Royal Hospital,17.010916,81.77304699999998,4.0,"20-23-4, Aryapuram, Behind Nagadevi Theatre, Rajahmundry. 533104",100,UNKNOWN,9866444327,"adolescent,public health,",79
,,Sri Lalitha Hospitals Insitute Of Laparoscopic Surgery And Training,16.95773181,82.23665621,3.5,"D.NO:13-3-2/3,OPP ANAND BHARATHI,CINEMA ROAD",101,UNKNOWN,9848063167,"pathology,medical research,accident,plastic surgery,cardiology,orthopaedics,general surgery,specialty,urology,plastic,dental,allergy,oral and maxillofacial surgery,paediatric surgery,public health,palliative care,neonatology,oncology,ophthalmology,",38
,,S.A.I. Hospitals,17.011848999999998,81.771291,3.6,"D.NO: 2-11-97, ARYAPURAM MIDDLE STREET",102,UNKNOWN,8297121377,"urology,medical research,orthopaedics,general surgery,specialty,ophthalmology,",83
,,Safe Emergency Hospital,16.970757,82.23734,3.6,"2-2-7, USHAPRIYA COMPLEX, BHANUGUDI JUNCTION, KAKINADA",103,UNKNOWN,9848266655,"adolescent,public health,",78
,,KIMS (Krishna Institute of Medical Sciences Ltd) Rajahmundry,17.001217,81.786137,4.9,"KATARIGARDENS, SEELAM NUKARAJU COMPLEX ROAD,Rajahmundry",104,UNKNOWN,9542520999,"radiology,vascular surgery,internal medicine,cardiovascular surgery,microbiology,neurosurgery,cardiothoracic surgery,accident,plastic surgery,cardiology,orthopaedics,paediatrics,gynecology,general surgery,specialty,gastroenterology,hepatology,urology,plastic,immunology,neurology,anesthesiology,orthopedic surgery,nephrology,emergency medicine,dental,pediatrics,endocrinology,thoracic surgery,rheumatology,psychiatry,pulmonology,oncology,dermatology,ophthalmology,",71
,,KAR HOSPITAL ORTHPAEDICS AND MULTI SPECIALITY,16.931896,81.953678,2.8,1-526,105,UNKNOWN,9848227777,,47
,,NARAYANA REDDY EYE HOSPITAL,16.931867,81.955291,4.6,1-426,106,UNKNOWN,9440204291,"adolescent,public health,",91
,,DR BRM CAREWELL HOSPITAL,16.970089,82.240124,2.7,2-6-32/3,107,UNKNOWN,9866029441,"pathology,medical research,vascular surgery,accident,plastic surgery,cardiology,orthopaedics,specialty,gastroenterology,urology,plastic,immunology,neurology,nephrology,dental,allergy,rheumatology,public health,oncology,ophthalmology,",86
,,PANDURANGA PRAJA VYDYASALA,17.358099,82.538685,4.9,2-17-29,108,UNKNOWN,8854256061,"pathology,medical research,accident,plastic surgery,cardiology,orthopaedics,gynecology,specialty,gastroenterology,urology,plastic,immunology,neurology,nephrology,dental,allergy,rheumatology,public health,palliative care,oncology,ophthalmology,",23
,,SRI VIJAYA MULTI SPECIALTY HOSPITAL,16.761264,81.841404,2.8,8-10-30/1,109,UNKNOWN,9100459467,"radiology,vascular surgery,cardiovascular surgery,plastic surgery,cardiology,orthopaedics,paediatrics,specialty,infectious diseases,gastroenterology,urology,plastic,neurology,nephrology,endocrinology,thoracic surgery,psychiatry,rheumatology,pulmonology,infectious disease,oncology,neonatology,dermatology,",19
,,ASCENT HOSPITALS A UNIT OF ASCENT MEDI EXCELLENCE PRIVATE LIMITED,17.007255999999998,81.791686,3.4,78-16-7,110,UNKNOWN,9440594094,"urology,orthopaedics,specialty,oncology,dermatology,medical oncology,ophthalmology,surgical oncology,gastroenterology,",75
,,SIDDARATHA NURSING HOME AND POLYCLINIC,17.00982,81.77511,4.0,29-14-96,111,UNKNOWN,9866509116,,67
,,SRI AKSHARA HOSPITALS,16.965358,82.231936,2.8,2004-09-07 00:00:00,112,UNKNOWN,9949470277,"urology,neurology,anesthesiology,emergency medicine,gynecology,dental,general surgery,gastroenterology,accident,",59
,,NEPHROPLUS (GGH KAKINADA),16.95474,82.229348,4.0,"GOVERNMENT  GENRAL HOSPITAL,GGH ROAD,RR ROAD,KAKINADA-01,EAST GODAVARI DISTRICT ,AP PIN 533001",113,UNKNOWN,9381661949,"public health,",95
