name,lat,long,vicinity,rating,Mobile Number
DR AGRAWALS HEALTH CARE LTD,13.62283,79.41713,19-4-8/14A I R BYPASS ROAD,2.5,9704030932
USHA EYE HOSPITAL,13.558886,78.509525,3-153-6,3.8,9849499197
MGM HOSPITALS,13.740668,79.720404,7-226-1-2-3,3.8,7288877301
VISWA ORTHOPAEDIC HOSPITAL,13.557222,78.500051,"II-64, PATEL ROAD, Madanapalli, Chittoor.",4.3,9885715141
PARAMAHANSA YOGANANDA EYE HOSPITAL,13.557777,78.509411,15-6-5-11,3.7,9666357284
PURNAS REMEDY HOSPITAL,13.63654,79.42247,"6-7-559HARE RAMA HARE KRISHNA ROADTirupathi, Chittoor",4.0,9676096438
PRASAD MULTI SPECIALITY HOSPITAL,13.556225,78.510226,15/15/5,4.0,9492852175
GUPTA HOSPITAL,13.551683,78.508326,15-284,4.1,9704207181
SRI VENKATESWARA ARAVIND EYE HOSPITAL,13.375837,79.231921,A/602,2.6,9486088879
Apollo Hospitals Enterprises Ltd- A,13.282811,78.955298,"ARAGONDA, THAVANAMPALLI (M), CHITTOOR (DIST.), A.P.",3.8,9440711831
DBR AND SK SUPER SPECIALITY HOSPITAL,13.633877,79.430922,1937-07-20 00:00:00,3.4,9676772332
SURENDRA MULTISPECAILITY HOSPITALS,13.615437,79.367855,2-287,3.9,9000414677
SRI CHAKRA HOSPITALS,13.636,79.4211,"496,REDDY & REDDY COLONY",4.4,8374514343
DESAI HOSPITALS,13.558866,78.508442,III-153-4-3-1,2.9,9866110453
SRI MARUTHI SPECALITY HOSPITALS,13.64266,79.42836,20-3-88/G1,4.9,9581197097
S K R Hospital,13.6572705,78.9408857,1-1715/1,4.0,9448844126
Rishi Ortho and Trauma Hospital,13.6507477,78.947935,DNO-2-519A,3.6,8886340884
GOPIMADHAVI HOSPITAL,13.63534,79.42034,10-13-562,2.8,9701426279
Konaseema Institute Of Medical Science,16.591006,82.022616,AMALAPURAM,4.7,9618239468
Raju Neuro And Multispeciality Hospitals P Ltd,17.005955,81.785378,RAJAHMUNDRY,3.3,9848169016
Gsl Trust Cancer Hospital And Research Centre,17.014891,81.776916,RAJAHMUNDRY,4.3,9966533555
Haritha Hospitals,16.956407,82.230546,KAKINADA,2.7,9948437961
Sai Sudha Hospital,16.954472,82.232363,KAKINADA,3.6,9848160147
UNIVERSAL HOSPITALS,17.007822,81.773869,29-14-29,3.2,8499022777
HOPE INTERNATIONAL HOSPITAL A UNIT OF PALAPARTHI SUPER SPECIALITY HOSPITALS PRIVATE LIMITED,17.02431,82.232311,3-119,4.0,9396549060
LAXMI HOSPITAL,16.972453,82.248648,3-16-207,2.8,9391467020
Raghava 24 Hours Hospital,16.963326,82.232645,"D.NO.11-11-3/1,RAMARAOPETA,NOOKALAMMA TEMPLE STREET, KAKINADA-533004",2.9,9553373737
Aravindam Orthopdeics  And Physiotherapy Centre,16.992196,81.775757,RAJAHMUNDRY,4.7,9849791600
Goutami Eye Institute,17.021144,81.782878,"1 R V Nagar,Korukonda Road,Rajahmundry 533105",4.1,8333814208
Sudha Urology  And Andrology Hospital,16.96357747,82.22873962,KAKINADA,3.2,9048666666
Sri Kiran Institute Of  Ophthalmology,17.024288,82.258404,"Penumarthi Road, Near Atchampeta JunctionKakinada",2.8,9494915050
Sri Bikkina Nursing Home,16.870457,81.928294,"MAIN ROAD; MANDAPETA-533308,E.G.Dt; A.P",3.3,9949817475
Royal Hospital,17.010916,81.773047,"20-23-4, Aryapuram, Behind Nagadevi Theatre, Rajahmundry. 533104",4.0,9866444327
Sri Lalitha Hospitals Insitute Of Laparoscopic Surgery And Training,16.95773181,82.23665621,"D.NO:13-3-2/3,OPP ANAND BHARATHI,CINEMA ROAD",3.5,9848063167
S.A.I. Hospitals,17.011849,81.771291,"D.NO: 2-11-97, ARYAPURAM MIDDLE STREET",3.6,8297121377
Safe Emergency Hospital,16.970757,82.23734,"2-2-7, USHAPRIYA COMPLEX, BHANUGUDI JUNCTION, KAKINADA",3.6,9848266655
KIMS (Krishna Institute of Medical Sciences Ltd) Rajahmundry,17.001217,81.786137,"KATARIGARDENS, SEELAM NUKARAJU COMPLEX ROAD,Rajahmundry",4.9,9542520999
KAR HOSPITAL ORTHPAEDICS AND MULTI SPECIALITY,16.931896,81.953678,1-526,2.8,9848227777
NARAYANA REDDY EYE HOSPITAL,16.931867,81.955291,1-426,4.6,9440204291
DR BRM CAREWELL HOSPITAL,16.970089,82.240124,2-6-32/3,2.7,9866029441
PANDURANGA PRAJA VYDYASALA,17.358099,82.538685,2-17-29,4.9,8854256061
SRI VIJAYA MULTI SPECIALTY HOSPITAL,16.761264,81.841404,8-10-30/1,2.8,9100459467
ASCENT HOSPITALS A UNIT OF ASCENT MEDI EXCELLENCE PRIVATE LIMITED,17.007256,81.791686,78-16-7,3.4,9440594094
SIDDARATHA NURSING HOME AND POLYCLINIC,17.00982,81.77511,29-14-96,4.0,9866509116
SRI AKSHARA HOSPITALS,16.965358,82.231936,2004-09-07 00:00:00,2.8,9949470277
NEPHROPLUS (GGH KAKINADA),16.95474,82.229348,"GOVERNMENT  GENRAL HOSPITAL,GGH ROAD,RR ROAD,KAKINADA-01,EAST GODAVARI DISTRICT ,AP PIN 533001",4.0,9381661949
Sreelatha Hospital,17.011116,81.771739,12-21-4Aryapuram,4.8,9397905700
Chakradhar Hospitals,16.999436,81.795583,"D.NO.85-6-24/1,R.T.C.COMPLEX ROAD, V.L.PURAM JNRAJAHMUNDRY",3.7,9618089455
Life Line Emergency Neuro and Trauma Hospital,16.970328,82.238687,"70-1-31/3,RAMANAYYAPETA,N.F.C.L.ROAD,KAKINADA",4.5,9293783153
Siddhartha Hospital,16.947287,82.231816,"34-1-20, TEMPLE STREET, KAKINADA-533001",5.0,9573777489
Dr.KVR HOSPITAL,16.905231,82.000476,"6-18,MAIN ROAD,RAYAVARAM,EAST GODAVARI DIST,PIN: 533 346.",4.6,9492435810
TRUST HOSPITAL A UNIT OF SARVOTTAM HEALTH CARE PVT LTD,16.995628,82.241029,"3-29,GAIGOLUPADU ROADPAVARAM JUNCTION,NEAR NTR STATUE533005",2.9,9000734555
ARUNA HOSPITAL,16.9698,82.223447,8-19-4/5,3.1,7680000185
CHANAKYA HOSPITAL,16.910548,82.000803,6-256,4.6,9849818717
RAMYA HOSPITALS,16.96504,82.223804,9-11-130,3.4,9494049999
INODAYA HOSPITALS A UNIT OF GODAVARTHY NARASIMHA MURTHY HEALTHCARE PVT LTD,16.984725,82.242223,70-7-7/11,2.8,9848403304
YASHVEDHHEALTHCARESERVICES,16.994355,82.238282,69-18-2/1,4.7,7799440333
SRINIDHI HOSPITALS VN NURSING HOME,16.574303,82.002142,3-2-117/E,3.3,9963369666
TAPANI HOSPITAL,17.010367,81.771277,2004-11-11 00:00:00,4.9,8008325689
7 STAR SUPER SPECIALITY HOSPITAL,16.955791,82.234503,"20-01-61,",4.8,8333814239
Swatantra HospitalsM.S Pvt Ltd,17.014131,81.777474,RAJAHMUNDRY,4.6,9550521218
Gsl Medical College And Gsl General Hospital,17.066518,81.882895,RAJAHMUNDRY,4.0,9494186402
Samudra Healthcare Enterprises Ltd Apollo Hospital Kakinada,16.960555,82.235855,KAKINADA,4.8,9701568856
KAMALAKAR HOSPITAL,17.006727,81.78957,D.NO.75-7-20,4.1,9441819845
SANJIVI INSTITUTE OF ORTHOPAEDICS and SUPERSPECIALITIES PVT.LTD,16.963167,82.233653,"11-11-1, RAMARAOPETA, TWOTOWN CENTER, behind nookalamma temple, 533004",3.8,9848532323
RAJAHMUNDRY ORTHOPEDIC HOSPITAL,17.0082966,81.7864883,"75-1-18, PRAKASH NAGARRAJAHMUNDRY,  East Godavari",4.7,9959332999
PULSE EMERGENCY HOSPITAL,16.9696318,82.2339673,1-15-3/1,4.9,9160335993
SRI RAVI HOSPITALS,17.007618,81.79516,D.NO 86-05-05 TILAK ROAD,3.6,9866720835
VIJAY HOSPITAL,17.0051708,81.7778397,"d.no-46-15-13,DANVAIPETA",4.1,9553600833
AKIRA EYE HOSPITAL,17.013208,81.771648,12-20-18,3.9,9866217817
SURAREDDY NURSING HOME,16.922283,82.013417,1-42-59/4,3.5,9866111009
SARADHI HOSPITALS,17.007936,81.789905,74-1318,3.7,9885564469
SUNRISE HOSPITALS A UNIT OF SANKHYA AND SRINIDHI HOSPITALS PVT LTD,16.971071,82.236849,2-27-15,4.5,9059064908
GANDHI HOSPITAL,16.832991,82.033311,2012-02-11 00:00:00,4.3,9494759669
GANDHI HOSPITALS,17.005954,81.785699,76-6-4,3.4,9491605725
RS NEURO AND MULTISPECIALITY HOSPITAL,17.008256,81.785496,46-21-10,3.4,9100350797
NARAYANAREDDY HOSPITALS,16.875925,81.929013,34-16-51,3.5,9441496712
KUSUMA HOSPITALS,16.967344,82.232027,7-7-5/4,2.7,9848160229
DR AGARWALS HEALTH CARE LIMITED,17.010161,81.794637,54-9-8,2.6,9652632999
ANNAPURNA HOSPITALS EMERGENCY CARE CENTRE,17.018986,81.775791,2014-09-17 00:00:00,4.4,9246655186
REVATHI HOSPITAL,17.000692,81.804055,87-1-17,3.8,9849424194
BESTHOSPITAL,16.960961,82.228405,10-5-27/1,5.0,9848277202
SRI SANTHI ENT HOSPITAL,17.007085,81.785971,75-7-37/1,3.7,9247938888
Sri Sai Hospitals,16.303698,80.44161,GUNTUR,2.8,8333814266
Peoples Trauma And Emergency Hospital,16.298717,80.453215,GUNTUR,3.1,8886176611
Yerras Super Speciality Hospital,16.297161,80.44955,"12-23-3,KOTHAPET GUNTUR",2.5,9849180596
Amaravathi Institute Of Medical Sciences Pvt Ltd,16.298586,80.453604,"D.NO:13-4-74,OLD CLUB ROAD,M NARASAREDDY PLAZA,KOTHAPET,GUNTUR",3.1,9866994124
GUNTURKIDNEYANDMULTISPECIALITYHOSPITAL,16.304457,80.4616,15-11-1/10,2.8,9949677616
Bmr Hospital,16.303537,80.44051,GUNTUR,2.9,8333814274
TEJANURSING HOME,16.237434,80.047095,2003-02-05 00:00:00,2.6,9440184999
VENKATESWARA NURSING,16.232387,80.052309,12-1-4/1,3.4,7093778888
Hyma Hospital,16.307974,80.418911,Guntur,3.6,9246482876
Katuri Medical College  And Hospital A unit of Vignan Educational Foundation,16.225625,80.308042,"KATURI NAGAR, GUNTUR",3.2,8333814075
Nandana Hospital,16.296554,80.435801,GUNTUR,4.7,9346507407
Sri Ramachandra Childrens And Dental Hospital,16.298461,80.454595,GUNTUR,4.2,8333814075
Aswini Hospital,16.298761,80.45775935,GUNTUR,3.5,9849100144
M N Hospital,16.302506,80.434009,"5-37-77, 4/10,BrodipetGuntur",3.5,8333814292
St. Joseph,16.297522,80.44116,"D.No. 27-1-12, Near Fly Over, Opp. A.C. College, GUNTUR",4.4,8333814036
Sri Lakshmi Maternity And Surgical Nursing Home,16.29851,80.433647,"BESIDE SIVALAYAM, KOTHAPET, GUNTUR - 522001",5.0,9440787615
Sankar Eye Hospital,16.350311,80.493302,"VJA-GNT EXPRESS HIGHWAY,PEDAKAKANI (PO&MDL)Guntur District",4.7,9160201205
HEALTH HOSPITALSL.G Medical specialities,16.243086,80.646483,"7-5-88/A, PRAKASAM ROAD, TENALI - 522201",4.8,8333814300
VEDANTA HOSPITALS,16.307142,80.463508,15-11-154,4.7,9848413226
PUVVADA HOSPITALS,16.237393,80.046488,2001-01-05 00:00:00,4.0,9848214277
VUNNAMHOSPITALS,16.47895,79.89279,16-567MAINROAD,2.5,7207536506
V CARDIAC AND MULTI SPECIALITY HOSPITAL,16.236166,80.650314,22-15-12,3.8,9885662221
SUDARSANI EYE HOSPITAL,16.298287,80.449546,12-25-167,3.8,9394101616
VARABABU SUPER SPECIALITY HOSPITALS,16.228016,80.046507,2002-04-12 00:00:00,3.2,9951666811
ASWINI NETRALAYAM,16.238282,80.053948,16/2/166,4.2,8330922761
SANJIVI ORTHOPAEDIC AND PHYSIOTHERAPY CENTRE,16.310401,80.433399,2018-01-04 00:00:00,4.8,7095375599
TULASI MULTI SPECIALITY HOSPITAL,16.298511,80.454251,2001-06-13 00:00:00,3.8,9985673898
SRI RAMA HOSPITALS,16.31746,80.437515,22-103,4.4,9493726150
Manipal Health Enterprises PVT LTD,16.484434,80.61722,"Near Varadhi,Tadepalli,Guntur",4.3,9959888048
Karumuri Hospital,16.298608,80.453801,GUNTUR,3.5,9848016227
Lalitha Super Speciality Hospital P Ltd,16.295261,80.449619,GUNTUR,4.9,9441411055
Nri Academyof Sciences,16.414917,80.5575,GUNTUR,3.0,9177739739
MOTHER THERESA MULTI SPECIALITY,16.236923,80.047355,79,4.9,9246453222
KAVURU INSTITUTE OF MEDICAL SCIENCES KIMS HOSPITAL,16.297756,80.454262,7-5-9/2 II TOWN POLICE STATION ROAD,3.3,9966837333
SAILAJA MULTISPECIALITY HOSPITAL,16.295672,80.454406,13-8-65 66,2.6,8333814074
YASHASWI HOSPITALS,16.317823,80.470144,"Near Ape Auto Showroom, Opp.Mehar Baba Temple, Mangalagiri Road, 522001",3.9,9885053830
DR ANJI REDDY MULTI SPECIALITY HOSPITAL PVT LTD,16.478791,79.893643,"16-687, MAIN ROAD, PIDUGURALLAGUNTUR",4.9,8179668666
VISWAS HOSPITALS,16.29,80.45,"13-6-98 OLD CLUB ROAD, GUNTUR",3.5,9100071353
NARAYANA SUPER SPECIALITY HOSPITAL,16.298994,80.450731,"12-12-93,OLDCLUBROAD KOTHAPET",4.2,9542432277
LIKHITHA SUPER SPECIALITY HOSPITAL,16.238167,80.05452,satenapali road,3.1,9885598146
RK MULTISPECIALITY HOSPITAL,16.0948,80.16,0,4.0,9948432632
FARZANA HOSPITALS,16.23689,80.05636,"16-3-12/3,NIMMATHOTA,NARSARAOPET,Guntur",2.8,9848373567
BHAVANAM VENKATRAM MEMORIAL GBR SUPER SPECIALITY HOSPITAL,16.237152,80.045284,2008-01-10 00:00:00,2.7,9885123132
Balaji Cancer Care Centre,16.295115,80.450159,GUNTUR,2.8,9246481939
Ent Nursing Home,16.297306,80.449196,GUNTUR,3.9,8074847678
SAI TIRUMALA SUPER SPECIALITY HOSPITAL,16.235309,80.047012,2009-12-09 00:00:00,2.8,8333814039
SRI LAKSHMI SUPER SPECIALITY HOSPITALS,16.30282,80.448117,2012-01-12 00:00:00,4.2,8500828507
veeraiahchowdaryorthotrauma and multi speciality hospital,16.230545,80.052734,13-1-296,4.1,9440913255
VENNELA NETHRALAYAM,16.0534,79.7391,23-189,4.7,8333814073
Sri Evuru Subbarao Memorial Nursing Home,16.054598,80.683974,2-23-1,4.2,8008811197
NIMSTWENTYFOURTHEHITECHMULTI SPECIALITYHOSPITAL,16.056841,79.745331,23-194,4.3,9963008666
AMULYA NURSING HOME,16.2371,80.0567,2007-02-16 00:00:00,3.8,8333814073
PRAGATHI NURSING HOME,16.089,80.1703,15-426,4.0,9000607799
PALNADUHOSPITALS,16.4799,79.8919,7-234,3.4,8333814039
SRI BALAJI HOSPITALS,16.2986,80.4508,51-22-526,4.5,8333814041
AHALYA HOSPITAL,16.2656,80.4837,2017-10-12 00:00:00,4.5,9848590244
SRAVANI HOSPITAL,16.2938,80.4503,2016-01-13 00:00:00,2.6,7013966673
SANJANA SPECIALITY HOSPITAL,16.3942,80.1516,9-1-61/C,4.1,9440135148
SRIDATTASUPERSPECIALITYHOSPITAL,16.2308,80.0458,12-5-11/2TO6,2.8,9885097036
UDAY HOSPITALS,16.29699,80.44906,12-25-65,3.4,9248004405
NEPHROPLUS (GGH GUNTUR),16.2992,80.444,"WARD NO 116, RAILWAY STATION ROAD, SAMBASIVA PET, GUNTUR 522001",3.9,9440101940
Lakshmi Srinivasa Hospital,16.2986,80.4573,"15-1-29, New: 59-90Beside Manipuram Bridge Near RTC Busstand",4.8,9494151618
RR SPECIALITY HOSPITAL,16.2964,80.4528,Guntur,3.3,8333814074
PRAJA VYDYA SALA,16.32,80.4143,1-2-4/A,3.3,9885261291
AHALYA NURSING HOME,16.3002,80.4492,12-10-16/3,3.5,9398155908
AMERICAN ONCOLOGY INSTITUTE A Unit of CTSI,16.314209,80.435028,"D NO 6-224/2, AT NRI GENERAL HOSPITAL COMPOUND",4.4,8333814042
C V R HOSPITAL MULTI SPECIALITY,16.314209,80.435028,10-1-8SAMBASIVAPETA 1ST LANE,4.5,8333814038
SRI KRISHNA HOSPITAL,16.2366359,80.0148375,9-12-1STATION ROAD,4.0,9550936726
DVC Hospital and Research Centre,16.2379,80.5583,12-290,3.7,9849799766
AMRUTHA HOSPITALS,16.2986,80.4527,1995-12-12 00:00:00,2.7,9611064634
AMAR ORTHOPAEDIC HOSPITAL,16.307248,80.436548,2012-02-13 00:00:00,3.7,8919484656
Lakshmi Aarush Health Care Pvt Ltd  Cathlab-Interventional Cordiology Service Provided to Government of AP -Government General Hospital-Guntur,16.2992,80.444,"House No  Podili Prasad Super Speciality Blok,  2nd floor, Government General Hospital, Opp Railway Station, Guntur",4.0,8333814036
AMMA CHILDRENS HOSPITAL,16.299,80.4528,2011-04-13 00:00:00,2.6,9912720099
SRI GEETHA SUPER SPECIALTY EYE HOSPITAL,16.30987,80.43275,5-91-2,4.6,8297233336
SUSMITHA ORTHO AND TRAUMA CARE,16.2357,80.0556,16-2-137,4.9,8333814039
SREE PRATHIMA SUPERSPECIALITY HOSPITAL,16.2989,80.4566,12-11-648,4.9,9573406688
LATHA CHILDRENS HOSPITAL,16.297,80.4451,1930-02-10 00:00:00,3.2,9885102600
Dr Agarwals Health Care Ltd,16.2987576,80.4553837,13-2-71Old Club Road Kotha Pet,3.8,8333814074
KONDAVEEDU ENT HOSPITALS,16.2357,80.0555,16-2-134,3.7,9440758731
VENKATESWARA MOTHER AND CHILD HOSPITALS,16.237424,80.047449,2006-03-05 00:00:00,4.6,9440878678
KRISHNA NURSING HOME,16.2959,80.4502,1981-01-15 00:00:00,3.3,9492487451
AMERICAN ONCOLOGY INSTITUTE UNIT OF CTSH PVT LTD,16.33127,80.486961,"DO.NO-447,448MAIN ROAD PEDAKAKANI",3.2,8333814042
KNR HOSPITAL,16.334636,80.487187,4-14-227/1,3.1,9949040218
ASWANI NURSING HOME,16.2949,80.4491,12-25-120,2.9,9652435743
SREE SRINIVASA MULTI SPECIALITY HOSPITAL,16.23802,80.04645,5-5-78/38,3.4,9866811668
Dr Agarwals Health Care Ltd,16.2987576,80.4553837,13-2-71Old Club Road Kotha Pet,3.0,9030296575
TIRUMALA NURSING HOME,16.0495,79.7418,30-211,3.7,9741902668
Nagarjuna Hospital,16.48726,80.684152,"7-70 , KANURU , VIJAYAWADA - 520007",3.2,8985298622
Andhra Health Diagnostic Services LimitedGlobal Vijayawada,16.510928,80.618617,VIJAYAWADA,3.4,9573102640
Trust Hospital,16.500809,80.654004,VIJAYAWADA,4.0,9490401367
Pinnamaneni Institue Of Medical Sciences,16.552586,80.830855,VIJAYAWADA,4.4,8333814338
ANNAPURNA MULTI SPECIALITY HOSPITAL,16.44193,80.992277,10/165,4.6,7893541903
Heart Care Centre,16.506174,80.648015,Vijayawada,3.0,9885038749
M V S Accident Hospital,16.511072,80.638093,"D.NO:33-18-15, Near Puspha Hotel, SuryaraopetVijayawada",3.4,9640133303
HCG Curie City Cancer Centre Health Care Global Enterprises Ltd,16.524295,80.65542,"BESIDE GOWTHAM INTER NATIONAL SCHOOL, PADAVALAREVU,GUNADALA,VIJAYAWADA",3.3,9491725804
Time Hospitals Private Limited,16.4876745,80.6774843,"Gurunanak Nagar,Vijayawada,Krishna-District",4.8,9848057236
LIBERTY HOSPITALS,16.48993,80.671548,"74-1-2,KINGSQUARECOMPLEXOPP.AUTONAGARBUSTERMINALS",4.9,8247480388
VISWA CHAKRA ORTHOPAEDIC HOSPITAL,16.178346,81.136587,26/323,3.7,9908787779
SRIKARA,16.497614,80.655573,40-1-65,2.8,9701244770
Usha Cardiac Centre Limited,16.501218,80.642395,VIJAYAWADA,3.8,9440032892
METRO SUPERSPECIALITY HOSPITALS,16.510936,80.632251,"D NO 29-14-32, Prakasam Raod, Near Nakkala Road cross junction, Suryaraopeta, Vijayawada -520002",2.9,7702226767
HCG City Cancer Centre,16.511429,80.63824,"D.NO.33-25-33,CH.VENKATA KRISHNAIAH STREET SURYARAOPET,VIJAYAWADA",4.3,8333814365
Help Hospitals Pvt Ltd,16.508863,80.627391,VIJAYAWADA,4.0,8333814367
Citi orthopaedic center,16.5077987,80.6404632,32-6-18A,3.4,9030194416
SENTINI HOSPITALS PRIVATE LIMITED,16.50983,80.664958,"DR NO:54-15-5,B&C BESIDE VINAYAK THEATER RING ROAD VIJAYAWADA",3.3,8333814371
CHIKITSA HOSPITALS,16.547807,80.654154,77-17/3-7,3.9,9490438306
Boppana Medicare Limited,16.512088,80.633686,"D.No. 15-177/1 Poranki Post, Vijayawada Mandal, Krishna District",2.9,9848593934
AIMS for CHILD HEALTH,16.51171,80.634651,"29-23-31, Tadepallivari Street, Vijayawada, Krishna",2.7,9440260155
